,iterations,wifi_pos,total_distance,strength
1,1,"(214, 480)",85.25690332598326,310.2944318251548
2,2,"(963, 357)",87.73522772305598,288.5318789846034
3,3,"(586, 56)",83.46176097431525,301.73192709183945
4,4,"(171, 60)",85.48013321282487,381.27810233914187
5,5,"(1379, 286)",79.77976769952176,474.20144701431707
6,6,"(208, 5)",77.91613137318883,388.332725644231
7,7,"(1407, 256)",85.78445923810511,492.16043960234646
8,8,"(1215, 0)",0.0,449.5711747027568
9,9,"(82, 225)",83.52621155105054,376.43307834406585
10,10,"(840, 481)",82.24289153568715,275.19596917559664
11,11,"(663, 114)",82.86236079275824,279.6206057419141
12,12,"(580, 103)",82.43724096800761,286.1892650109058
13,13,"(385, 137)",86.20710532572464,295.2764331139253
14,14,"(859, 186)",72.8833667462812,270.7097396445637
